source,target,weight
DOTSOV07,WULJUJ,0.9998041124993816
DOTSOV07,DOTSOV02,0.9997942069473486
DOTSOV07,XAMDUM02,0.9997716188117708
DOTSOV07,DOTSOV41,0.9997615759535452
DOTSOV07,DOTSOV34,0.9997481327483548
DOTSOV07,DOTSOV01,0.9997479407684032
DOTSOV07,DOTSOV35,0.9997473169593704
DOTSOV07,DOTSOV38,0.9997467246717728
DOTSOV07,DOTSOV28,0.9997451489736384
DOTSOV07,DOTSOV30,0.9997440807816254
DOTSOV07,DOTSOV12,0.9997439991911108
DOTSOV07,DOTSOV24,0.9997435156379588
DOTSOV07,DOTSOV05,0.9997425120116474
DOTSOV07,DOTSOV13,0.9997402714472494
DOTSOV07,XAMDUM04,0.9997158319146277
DOTSOV07,LUDLIH,0.9996732178404976
DOTSOV07,XAMDUM,0.9996101649710672
DOTSOV07,FIQCEN,0.9996069169958836
DOTSOV07,LUDLED,0.9996019428965076
DOTSOV07,YOZNIM,0.999593276897224
DOTSOV07,YOZMOR,0.9995705440031504
DOTSOV07,DIHVIB,0.999538282605738
DOTSOV07,YOZPAG,0.9994768521557672
DOTSOV07,QIZLIW,0.999077385781992
DOTSOV07,QAWHIH,0.9981289011575492
DOTSOV07,NEHZOS,0.9975110388143535
DOTSOV07,NEHZUY,0.9974434342581135
DOTSOV07,OQIZUL,0.9970326261096712
DOTSOV07,YOZNUY,0.9970125109004055
DOTSOV07,OHOMIH,0.9954449623738572
DOTSOV07,DALSOA,0.932726025979138
DOTSOV07,ORAWAH,0.9310524208011732
DOTSOV07,EXOYAS,0.9197805540728186
DOTSOV07,IWEVAJ,0.919567890022494
DOTSOV07,RAWYAS,0.919371843963844
DOTSOV07,HOGLEV,0.9079185691954338
DOTSOV07,OFOCUI,0.9073582518751754
DOTSOV07,YUGLES,0.9071779401962052
DOTSOV07,YAGHUM,0.907009490238884
DOTSOV07,NUTQEZ,0.9067006646855174
DOTSOV07,XIJSUH,0.9063079566997514
DOTSOV07,ALIXUP,0.9021125524921284
DOTSOV07,MOFGOE,0.8962917941830518
DOTSOV07,GIKMOD11,0.8940801496765115
DOTSOV07,LUSZOP01,0.8940160573055672
DOTSOV07,GIKMOD12,0.8939754508373987
DOTSOV07,LUTBUY,0.8939033013395093
DOTSOV07,VUJBIM,0.8938163390918197
DOTSOV07,LUSZOP,0.8937898893229104
DOTSOV07,LUTCIN,0.8936780415571992
DOTSOV07,GIKMOD05,0.8934225234071324
DOTSOV07,VIXPUP01,0.8870671156680027
DOTSOV07,ASOSUY,0.8870351872727033
DOTSOV07,GINTUT,0.8869265900768726
DOTSOV07,VIXPUP,0.886892180746232
DOTSOV07,VIXPUP02,0.8868658477034737
DOTSOV07,LUDLAZ,0.8865554994688719
DOTSOV07,IPUPIU,0.8863613783211971
DOTSOV07,ADONEP,0.8850435938959833
DOTSOV07,WANJIF,0.8850432364626131
SIWZOP03,NIWZIE18,0.999922437880856
SIWZOP03,NIWZIE14,0.999913945882378
SIWZOP03,NIWZIE10,0.999869745636792
SIWZOP03,NIWZIE02,0.9998135005129972
SIWZOP03,NIWZIE01,0.9997288626545204
SIWZOP03,NIWZIE06,0.9997168614071352
SIWZOP03,NAXVOY04,0.9996052794835556
SIWZOP03,NAXVOY01,0.9995648748669028
SIWZOP03,NAXVOY03,0.9995627502854708
SIWZOP03,HIBGEF,0.9995514322694424
SIWZOP03,XEHSIN,0.9994145844301976
SIWZOP03,XEHSAF,0.9993701247591358
SIWZOP03,DOHDOU,0.996874816079758
SIWZOP03,YANWAO,0.9968237216877692
SIWZOP03,SIRBIG04,0.9964294149552556
SIWZOP03,SIRBIG01,0.9963359761791956
SIWZOP03,MGFORD,0.9956780762838612
SIWZOP03,LIJWUX02,0.9952429002218762
SIWZOP03,LIJWUX,0.9952272274181418
SIWZOP03,LICSEW,0.9948514591881972
SIWZOP03,MGFORD03,0.9947094494741446
SIWZOP03,AMURUX06,0.9936986259854316
SIWZOP03,SIRBIG02,0.9928163448814596
LIJWUX02,LIJWUX,0.9999987590598196
LIJWUX02,LICSEW,0.9999919558160666
LIJWUX02,MGFORD03,0.9999845355421684
LIJWUX02,SIRBIG06,0.9999063553423324
LIJWUX02,AMURUX06,0.9998902469012384
LIJWUX02,YANWAO,0.999839531956459
LIJWUX02,DOHDOU,0.9998276694612166
LIJWUX02,SIRBIG02,0.9997476754218988
LIJWUX02,MGFORD,0.9988218594764372
LIJWUX02,XEHSAF,0.9980590763093488
LIJWUX02,XEHSIN,0.9979880599126816
LIJWUX02,HIBGEF,0.9977090357333978
LIJWUX02,NAXVOY03,0.997683306116088
LIJWUX02,NAXVOY01,0.9976784150225726
LIJWUX02,NAXVOY04,0.997582020588246
LIJWUX02,NIWZIE06,0.9972745240105289
LIJWUX02,NIWZIE01,0.997236889016168
LIJWUX02,NIWZIE02,0.9969344210859494
LIJWUX02,NIWZIE10,0.9966817463577966
LIJWUX02,NIWZIE14,0.99643190280772
LIJWUX02,NIWZIE18,0.9963757788656044
LATFUI,MIBQAR04,0.9999999955206708
LATFUI,HIFTOG03,0.9999999866994692
LATFUI,VAZTUM,0.999999904087216
LATFUI,SAHYOQ02,0.9999998733025288
LATFUI,SAHYIK,0.9999994892920866
LATFUI,SAHYOQ05,0.9999993955330836
LATFUI,MIBQAR17,0.9999992448031966
LATFUI,MIBQAR19,0.9999992254851588
LATFUI,VUSJUP,0.9999989500897508
LATFUI,MIBQAR07,0.9999989348322944
LATFUI,MIBQAR10,0.9999985571362068
LATFUI,PEVQOY,0.999988551358916
LATFUI,PUCYAO,0.9997106905749776
